ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742632212429,-1.20897,-1.83589,12.00838,13.82459,-10.43844,-4.19988
Gar,2,1742632212437,-1.20897,-1.83589,12.00838,10.0447,-10.50844,-3.21991
Gar,3,1742632212444,0.35713,-2.42931,12.48036,-0.105,-1.26871,-6.22982
Gar,4,1742632212456,0.35713,-2.42931,12.48036,-8.08476,12.10089,-11.47966
Gar,5,1742632212466,-0.26142,-2.58006,7.39502,-7.38478,2.86117,-10.2897
Gar,6,1742632212471,-0.26142,-2.58006,7.39502,-2.27493,-0.14875,-11.33967
Gar,7,1742632212476,-0.26142,-2.58006,7.39502,1.29496,3.70114,-10.91968
Gar,8,1742632212489,0.63111,-2.10269,10.09831,1.71495,-10.01845,-6.08982
Gar,9,1742632212497,0.63111,-2.10269,10.09831,3.81489,-12.95837,-5.17985
Gar,10,1742632212505,-1.11147,-3.09153,9.69632,1.43496,-4.13863,-7.69977
Gar,11,1742632212510,-1.11147,-3.09153,9.69632,-0.80498,-4.41862,-8.32975
Gar,12,1742632212522,-1.11147,-3.09153,9.69632,0.73498,10.77093,-11.26967
Gar,13,1742632212531,0.94756,-4.37647,3.67896,5.14485,21.48062,-17.14949
Gar,14,1742632212538,0.94756,-4.37647,3.67896,18.16446,11.9609,-31.21908
Gar,15,1742632212543,-1.06421,-3.93859,5.16311,23.06432,10.56094,-39.75883
Gar,16,1742632212555,-1.06421,-3.93859,5.16311,13.89459,-6.79855,-37.02891
Gar,17,1742632212560,-1.06421,-3.93859,5.16311,5.21485,-40.8263,-18.40946
Gar,18,1742632212569,0.06401,1.85862,17.33121,4.09488,-22.68808,-4.47987
Gar,19,1742632212582,0.06401,1.85862,17.33121,-9.90471,7.06104,-6.57981
Gar,20,1742632212589,0.64666,-1.43031,10.79283,-23.6243,1.8112,-10.1497
Gar,21,1742632212594,0.64666,-1.43031,10.79283,-23.6243,10.70094,-9.02973
Gar,22,1742632212606,0.5013,-2.65364,5.88993,-14.66457,3.14116,-7.83977
Gar,23,1742632212614,0.5013,-2.65364,5.88993,-6.7548,-0.28874,-13.4396
Gar,24,1742632212621,-0.53001,-1.05284,8.94078,9.55472,-4.62861,-7.69977
Gar,25,1742632212628,-0.53001,-1.05284,8.94078,15.43455,-10.64844,-5.31984
Gar,26,1742632212639,-0.53001,-1.05284,8.94078,11.30467,0.55123,-8.39975
Gar,27,1742632212649,-0.03649,-4.12044,8.33959,6.6848,2.51118,-11.12967
Gar,28,1742632212655,-0.03649,-4.12044,8.33959,11.79465,3.70114,-11.19967
Gar,29,1742632212663,0.25723,-1.81615,10.12583,15.29455,5.1011,-9.16973
Gar,30,1742632212673,0.25723,-1.81615,10.12583,15.78453,-2.66867,-10.49969
Gar,31,1742632212682,0.68195,-1.56909,10.25863,11.58466,3.77114,-7.83977
Gar,32,1742632212689,0.68195,-1.56909,10.25863,8.08476,-4.27862,-9.09973
Gar,33,1742632212700,0.08794,-1.08096,9.54198,7.52478,-1.05872,-8.39975
Gar,34,1742632212706,0.08794,-1.08096,9.54198,8.78474,-0.35874,-7.27979
Gar,35,1742632212715,0.08794,-1.08096,9.54198,2.83492,-5.1186,-7.48978
Gar,36,1742632212723,0.35414,-1.30409,10.61695,1.36496,-0.00875,-3.21991
Gar,37,1742632212732,0.35414,-1.30409,10.61695,2.34493,-3.99863,-6.6498
Gar,38,1742632212740,0.23749,-4.17428,10.20838,-6.8248,-1.89869,-7.90977
Gar,39,1742632212745,0.23749,-4.17428,10.20838,-9.13473,0.76123,-8.53975
Gar,40,1742632212756,0.23749,-4.17428,10.20838,-4.44487,-10.64844,-10.1497
Gar,41,1742632212766,-0.86142,-3.6347,11.02792,-2.20494,-6.37856,-11.19967
Gar,42,1742632212769,-0.86142,-3.6347,11.02792,-5.07485,-3.57864,-9.86971
Gar,43,1742632212782,1.22812,-1.84666,12.65743,-5.84483,-9.52847,-10.3597
Gar,44,1742632212787,1.22812,-1.84666,12.65743,-0.73498,6.36106,-5.31984
Gar,45,1742632212796,1.22812,-1.84666,12.65743,0.94497,4.68111,-4.61986
Gar,46,1742632212807,0.45823,-1.13719,11.67997,0.24499,2.02119,-7.76977
Gar,47,1742632212817,0.45823,-1.13719,11.67997,-0.24499,3.49115,-9.51972
Gar,48,1742632212824,-0.15254,-3.89133,8.62732,4.65486,-7.63853,-10.00971
Gar,49,1742632212828,-0.15254,-3.89133,8.62732,8.08476,-7.35853,-9.65972
Gar,50,1742632212839,-0.25663,-2.57767,11.12304,13.26461,-6.44856,-8.25976
Gar,51,1742632212846,-0.25663,-2.57767,11.12304,3.67489,-10.99843,-10.56969
Gar,52,1742632212855,-0.25663,-2.57767,11.12304,0.66498,-8.96849,-11.68966
Gar,53,1742632212865,0.05085,-1.25982,9.51566,2.90491,-3.43865,-9.65972
Gar,54,1742632212873,0.05085,-1.25982,9.51566,3.3249,-2.87867,-12.03965
Gar,55,1742632212880,0.23749,-2.63869,7.94178,-3.18491,-3.43865,-11.26967
Gar,56,1742632212889,0.23749,-2.63869,7.94178,-2.62492,-11.34842,-9.86971
Gar,57,1742632212898,0.28893,-0.78963,11.93839,1.43496,-15.4083,-7.06979
Gar,58,1742632212907,0.28893,-0.78963,11.93839,-8.85474,-7.91852,-7.55978
Gar,59,1742632212914,0.28893,-0.78963,11.93839,-16.13453,-8.75849,-8.60975
Gar,60,1742632212924,0.45045,-3.16929,8.73021,-18.58445,-4.76861,-9.58972
Gar,61,1742632212931,0.45045,-3.16929,8.73021,-7.59478,-12.25839,-8.18976
Gar,62,1742632212939,0.3655,-1.32861,8.55733,-4.02488,-7.70852,-7.97977
Gar,63,1742632212948,0.3655,-1.32861,8.55733,-4.72486,-2.17869,-7.20979
Gar,64,1742632212957,0.03529,-3.71725,7.78684,-6.8948,-7.07854,-7.41978
Gar,65,1742632212965,0.03529,-3.71725,7.78684,-6.9648,-4.27862,-8.67974
Gar,66,1742632212973,0.03529,-3.71725,7.78684,-6.33481,-0.77873,-6.57981
Gar,67,1742632212982,0.62991,-2.70927,9.54676,-8.29476,-8.05851,-5.94982
Gar,68,1742632212995,0.62991,-2.70927,9.54676,-14.66457,-15.82828,-1.53995
Gar,69,1742632213001,0.09691,-1.62293,13.17787,-20.5444,-5.95857,-1.04997
Gar,70,1742632213006,0.09691,-1.62293,13.17787,-23.6943,-9.31848,-3.00991
Gar,71,1742632213014,0.91705,-2.39342,8.07458,-26.42422,-0.42874,-2.65992
Gar,72,1742632213023,0.91705,-2.39342,8.07458,-20.12441,-4.41862,-3.98988
Gar,73,1742632213032,0.91705,-2.39342,8.07458,-17.60448,-5.74858,-5.45984
Gar,74,1742632213040,0.25424,-4.50688,5.00758,-4.09488,-0.63873,-4.82986
Gar,75,1742632213048,0.25424,-4.50688,5.00758,18.30446,-7.07854,-2.09994
Gar,76,1742632213055,-0.58026,-2.23011,9.11127,22.01435,-7.98851,-0.83998
Gar,77,1742632213064,-0.58026,-2.23011,9.11127,4.16488,1.32121,-0.97997
Gar,78,1742632213073,0.59521,-1.52363,11.12902,-6.9648,-12.95837,0.76998
Gar,79,1742632213081,0.59521,-1.52363,11.12902,-5.70483,6.92105,0.27999
Gar,80,1742632213091,0.59521,-1.52363,11.12902,-11.93465,12.45088,1.53995
Gar,81,1742632213099,0.71067,-4.6672,7.01755,-23.8343,-4.76861,-1.53995
Gar,82,1742632213107,0.71067,-4.6672,7.01755,-10.81468,-6.09857,-0.48999
Gar,83,1742632213115,0.21176,-1.08694,7.70728,0.035,-6.44856,3.2899
Gar,84,1742632213124,0.21176,-1.08694,7.70728,-3.5349,-4.76861,5.24985
Gar,85,1742632213132,0.27398,-3.25723,8.41974,-9.62472,-0.70873,6.99979
Gar,86,1742632213141,0.27398,-3.25723,8.41974,-4.37487,-7.70852,7.55978
Gar,87,1742632213148,0.27398,-3.25723,8.41974,0.035,-9.10848,6.08982
Gar,88,1742632213156,-0.05324,-1.3657,9.89013,4.44487,-3.01866,8.53975
Gar,89,1742632213165,-0.05324,-1.3657,9.89013,-1.64495,-6.79855,4.19988
Gar,90,1742632213174,-0.37567,-3.14297,6.33679,-4.65486,-2.38868,0.97997
Gar,91,1742632213182,-0.37567,-3.14297,6.33679,0.52498,-4.41862,0.83998
Gar,92,1742632213191,-0.01256,-2.17029,9.26621,12.21464,-3.78864,4.54987
Gar,93,1742632213199,-0.01256,-2.17029,9.26621,10.1147,-0.14875,10.1497
Gar,94,1742632213207,-0.01256,-2.17029,9.26621,3.88489,-3.08866,10.70968
Gar,95,1742632213216,-0.20219,-4.99382,9.64786,1.71495,-2.17869,4.68986
Gar,96,1742632213224,-0.20219,-4.99382,9.64786,8.08476,4.47112,7.83977
Gar,97,1742632213232,0.42473,-0.68495,10.90409,11.09467,-0.63873,7.69977
Gar,98,1742632213242,0.42473,-0.68495,10.90409,9.27473,2.93116,8.67974
Gar,99,1742632213249,0.39482,-2.90907,9.23031,-0.105,3.63114,8.18976
Gar,100,1742632213256,0.39482,-2.90907,9.23031,0.87497,-0.77873,6.8598
Gar,101,1742632213265,0.39482,-2.90907,9.23031,9.69471,4.26112,7.48978
Gar,102,1742632213273,0.53898,-1.6672,10.70669,12.07465,8.18101,10.2897
Gar,103,1742632213282,0.53898,-1.6672,10.70669,9.41472,3.07116,7.97977
Gar,104,1742632213290,-0.08495,-1.97707,9.75255,10.39469,5.73108,7.62978
Gar,105,1742632213300,-0.08495,-1.97707,9.75255,10.53469,4.82111,7.27979
Gar,106,1742632213308,0.25304,-2.21097,10.4668,15.92453,6.29106,4.33987
Gar,107,1742632213316,0.25304,-2.21097,10.4668,20.89439,8.18101,11.40966
Gar,108,1742632213324,0.25304,-2.21097,10.4668,17.95447,-1.7587,12.10964
Gar,109,1742632213331,-0.19561,-1.20897,12.57548,5.77483,5.59109,8.39975
Gar,110,1742632213341,-0.19561,-1.20897,12.57548,1.08497,9.93096,6.36981
Gar,111,1742632213350,-0.93739,-4.25444,8.17628,-1.43496,4.54112,4.12988
Gar,112,1742632213357,-0.93739,-4.25444,8.17628,1.15497,5.52109,3.2899
Gar,113,1742632213368,-0.17169,-3.86022,8.54058,8.57475,5.87108,3.91988
Gar,114,1742632213374,-0.17169,-3.86022,8.54058,12.00465,4.47112,7.13979
Gar,115,1742632213384,-0.17169,-3.86022,8.54058,8.71474,0.97122,10.00971
Gar,116,1742632213389,-0.067,-2.10628,13.36571,-0.105,2.65117,7.97977
Gar,117,1742632213399,-0.067,-2.10628,13.36571,-2.06494,5.66108,6.8598
Gar,118,1742632213408,0.78784,-4.01875,7.79283,-9.76471,19.45068,5.10985
Gar,119,1742632213417,0.78784,-4.01875,7.79283,-14.10458,13.36086,1.32996
Gar,120,1742632213424,0.78784,-4.01875,7.79283,-10.1147,10.35095,-0.34999
Gar,121,1742632213433,0.07777,-4.03729,9.21955,0.94497,6.29106,8.88974
Gar,122,1742632213442,0.07777,-4.03729,9.21955,-2.62492,-1.6887,14.76957
Gar,123,1742632213450,0.55633,-2.5352,13.99502,-13.5446,14.97081,8.81974
Gar,124,1742632213459,0.55633,-2.5352,13.99502,-20.4044,12.0309,6.57981
Gar,125,1742632213467,-0.72861,-2.6327,11.44427,-18.16446,8.95099,4.54987
Gar,126,1742632213477,-0.72861,-2.6327,11.44427,-18.16446,11.12092,5.38984
Gar,127,1742632213483,-0.72861,-2.6327,11.44427,-15.78453,1.8112,3.21991
Gar,128,1742632213491,-0.76929,-4.61336,8.67817,-10.0447,0.41124,3.4299
Gar,129,1742632213501,-0.76929,-4.61336,8.67817,0.87497,7.13104,5.94982
Gar,130,1742632213510,0.59163,-2.02612,11.58665,7.52478,9.65097,7.83977
Gar,131,1742632213519,0.59163,-2.02612,11.58665,7.66477,12.31089,4.33987
Gar,132,1742632213526,-0.88295,-3.62333,8.29352,5.70483,17.28074,2.09994
Gar,133,1742632213533,-0.88295,-3.62333,8.29352,1.01497,10.49094,0.69998
Gar,134,1742632213542,-0.88295,-3.62333,8.29352,2.41493,3.70114,-0.76998
Gar,135,1742632213550,-0.76152,-2.03151,10.16531,10.39469,1.18122,1.81995
Gar,136,1742632213560,-0.76152,-2.03151,10.16531,5.07485,8.74099,2.30993
Gar,137,1742632213568,1.31007,-3.95115,7.65703,-6.12482,12.80087,-0.62998
Gar,138,1742632213577,1.31007,-3.95115,7.65703,2.97491,15.88078,-0.34999
Gar,139,1742632213584,-1.01635,-2.22951,4.65344,13.05462,13.78084,-0.27999
Gar,140,1742632213592,-1.01635,-2.22951,4.65344,17.81448,2.86117,-4.05988
Gar,141,1742632213601,-0.88953,-4.61755,5.80618,9.55472,12.73088,-9.30973
Gar,142,1742632213609,-0.88953,-4.61755,5.80618,6.6848,21.34062,-10.56969
Gar,143,1742632213618,-0.88953,-4.61755,5.80618,-0.66498,-8.3385,7.41978
Gar,144,1742632213627,-0.13699,-2.8684,14.65843,-0.66498,3.35115,8.39975
Gar,145,1742632213634,-0.13699,-2.8684,14.65843,-4.44487,16.37077,-0.27999
Gar,146,1742632213643,0.10648,-2.93898,8.72004,-12.98462,0.90122,-4.96985
Gar,147,1742632213651,0.10648,-2.93898,8.72004,-6.40481,12.31089,-1.53995
Gar,148,1742632213658,0.10648,-2.93898,8.72004,2.90491,11.19092,-7.06979
Gar,149,1742632213666,-0.20758,-0.01316,7.15155,17.39449,7.06104,-1.74995
Gar,150,1742632213678,-0.20758,-0.01316,7.15155,16.8345,2.37118,2.23993
Gar,151,1742632213685,0.42054,-0.19083,12.2034,6.12482,8.74099,1.60995
Gar,152,1742632213693,0.42054,-0.19083,12.2034,1.43496,13.43085,0.83998
Gar,153,1742632213701,-0.11306,-3.06102,8.69851,-3.18491,14.83081,-2.37993
Gar,154,1742632213710,-0.11306,-3.06102,8.69851,-1.78495,10.63094,-7.62978
Gar,155,1742632213716,-0.11306,-3.06102,8.69851,3.88489,7.48103,-7.27979
Gar,156,1742632213727,-0.4678,-2.79063,8.403,15.71454,3.28115,-3.98988
Gar,157,1742632213736,-0.4678,-2.79063,8.403,21.66436,6.01107,-2.72992
Gar,158,1742632213743,-0.13041,-2.02074,10.54218,17.60448,6.99104,0.34999
Gar,159,1742632213752,-0.13041,-2.02074,10.54218,12.98462,6.22107,-1.81995
Gar,160,1742632213761,-0.14536,-2.57408,9.8668,8.57475,5.31109,-6.36981
Gar,161,1742632213768,-0.14536,-2.57408,9.8668,6.7548,18.12072,-5.17985
Gar,162,1742632213777,-0.14536,-2.57408,9.8668,7.17479,10.56094,-7.83977
Gar,163,1742632213788,0.09332,-2.82353,7.99921,6.40481,13.99084,-7.83977
Gar,164,1742632213796,0.09332,-2.82353,7.99921,8.57475,15.60079,-8.60975
Gar,165,1742632213801,-0.34158,-0.90628,10.05464,10.0447,10.63094,-5.87983
Gar,166,1742632213809,-0.34158,-0.90628,10.05464,9.97471,-3.15866,-4.12988
Gar,167,1742632213819,1.06959,-3.58564,10.65584,-2.62492,16.44077,-4.89986
Gar,168,1742632213828,1.06959,-3.58564,10.65584,-10.88468,25.68049,-6.8598
Gar,169,1742632213837,1.06959,-3.58564,10.65584,-2.90491,15.3908,-8.18976
Gar,170,1742632213845,-0.5007,-6.79621,4.59003,-2.13494,19.52068,-11.47966
Gar,171,1742632213852,-0.5007,-6.79621,4.59003,-9.55472,9.02098,-12.45963
Gar,172,1742632213861,-0.98285,-1.07677,17.53939,-2.27493,-18.5582,-4.26987
Gar,173,1742632213870,-0.98285,-1.07677,17.53939,-5.84483,-1.8287,-5.87983
Gar,174,1742632213878,-0.19561,-1.20598,14.43351,-28.80415,13.71085,-11.05967
Gar,175,1742632213886,-0.19561,-1.20598,14.43351,-38.18388,26.24048,-13.01962
Gar,176,1742632213895,-0.19561,-1.20598,14.43351,-31.74407,21.83061,-13.22961
Gar,177,1742632213902,1.41236,-1.69472,9.55275,-12.07465,11.12092,-6.8598
Gar,178,1742632213911,1.41236,-1.69472,9.55275,-7.03479,5.66108,-12.73962
Gar,179,1742632213918,-0.50429,-5.33659,7.73719,2.27493,6.71105,-9.79971
Gar,180,1742632213928,-0.50429,-5.33659,7.73719,18.65445,-1.5487,-11.19967
Gar,181,1742632213935,-0.54197,-5.58485,9.43311,14.94456,6.78105,-11.89965
Gar,182,1742632213943,-0.54197,-5.58485,9.43311,11.30467,10.77093,-17.98947
Gar,183,1742632213950,-0.54197,-5.58485,9.43311,14.24458,7.83102,-18.54945
Gar,184,1742632213961,0.18006,-0.7322,10.12942,24.32428,9.44097,-15.53954
Gar,185,1742632213970,0.18006,-0.7322,10.12942,19.28443,0.13125,-13.08961
Gar,186,1742632213978,-0.77408,-1.87837,12.50011,11.65466,-1.05872,-16.37952
Gar,187,1742632213986,-0.77408,-1.87837,12.50011,-1.64495,6.01107,-17.0795
Gar,188,1742632213993,0.11007,-3.08076,7.85564,-5.91483,10.14095,-18.40946
Gar,189,1742632214004,0.11007,-3.08076,7.85564,-4.09488,8.95099,-19.52942
Gar,190,1742632214011,0.11007,-3.08076,7.85564,-4.09488,6.50106,-20.64939
Gar,191,1742632214020,0.27996,-3.12921,7.53141,-3.95488,3.98113,-18.47946
Gar,192,1742632214029,0.27996,-3.12921,7.53141,-0.17499,-7.84852,-17.91947
Gar,193,1742632214037,-0.65743,-0.29312,12.32543,3.3949,-7.28854,-18.89944
Gar,194,1742632214046,-0.65743,-0.29312,12.32543,-0.38499,3.28115,-18.40946
Gar,195,1742632214054,1.98604,-3.84467,5.61655,-11.37467,12.66088,-18.68945
Gar,196,1742632214063,1.98604,-3.84467,5.61655,-3.11491,20.01066,-21.20938
Gar,197,1742632214070,1.98604,-3.84467,5.61655,5.42484,16.02078,-21.20938
Gar,198,1742632214078,1.19462,-1.68754,6.11366,26.98421,11.54091,-17.77948
Gar,199,1742632214088,1.19462,-1.68754,6.11366,28.45416,2.72117,-14.34958
Gar,200,1742632214095,-1.96391,-3.0,11.17269,10.1147,-3.57864,-14.20958
Gar,201,1742632214101,-1.96391,-3.0,11.17269,1.29496,-1.33871,-15.60954
Gar,202,1742632214110,2.06441,-0.71186,14.99103,-11.51466,11.47091,-14.83956
Gar,203,1742632214119,2.06441,-0.71186,14.99103,-13.6846,8.74099,-10.56969
Gar,204,1742632214128,2.06441,-0.71186,14.99103,-10.74468,-8.5485,-11.12967
Gar,205,1742632214137,-1.12762,1.28674,11.59682,-11.65466,-2.66867,-18.75945
Gar,206,1742632214146,-1.12762,1.28674,11.59682,-15.50454,4.33112,-11.82965
Gar,207,1742632214152,-0.22732,-4.84606,-1.59003,-13.05462,2.58117,-8.88974
Gar,208,1742632214161,-0.22732,-4.84606,-1.59003,16.20452,1.5312,-30.6591
Gar,209,1742632214170,-1.59661,-4.56132,3.66221,67.09303,28.20042,-50.53851
Gar,210,1742632214179,-1.59661,-4.56132,3.66221,80.88262,67.32927,-49.55854
Gar,211,1742632214188,-1.59661,-4.56132,3.66221,12.77462,-0.14875,-4.40987
Gar,212,1742632214196,3.57308,-1.2347,23.53461,-22.71433,-37.4664,52.50721
Gar,213,1742632214204,3.57308,-1.2347,23.53461,-1.78495,-13.79834,48.02734
Gar,214,1742632214213,-1.14138,2.43111,11.09432,7.17479,-29.48663,18.96944
Gar,215,1742632214222,-1.14138,2.43111,11.09432,1.50496,3.07116,-15.88953
Gar,216,1742632214229,2.00997,-2.19183,2.22174,-8.22476,19.17069,-16.02953
Gar,217,1742632214237,2.00997,-2.19183,2.22174,1.85495,16.79076,-19.10944
Gar,218,1742632214249,2.00997,-2.19183,2.22174,-3.88489,-18.20821,-7.55978
Gar,219,1742632214258,-1.81077,-2.2654,11.99941,-6.9648,-31.58657,-4.12988
Gar,220,1742632214263,-1.81077,-2.2654,11.99941,-4.37487,-0.49874,-7.13979
Gar,221,1742632214269,-1.81077,-2.2654,11.99941,-11.09467,10.07095,-7.76977
Gar,222,1742632214277,0.87218,-3.75434,11.39223,-19.98441,5.52109,-11.82965
Gar,223,1742632214286,0.87218,-3.75434,11.39223,-12.56463,2.65117,-12.45963
Gar,224,1742632214294,-0.27936,-2.54836,9.02872,5.28484,2.79117,-13.29961
Gar,225,1742632214303,-0.27936,-2.54836,9.02872,9.27473,2.02119,-13.01962
Gar,226,1742632214313,0.35593,-1.41655,7.83171,16.9045,0.83123,-10.91968
Gar,227,1742632214320,0.35593,-1.41655,7.83171,17.74448,-4.41862,-7.90977
Gar,228,1742632214330,-1.41177,-1.7336,13.91367,13.33461,-24.78802,-11.12967
Gar,229,1742632214339,-1.41177,-1.7336,13.91367,8.99473,2.65117,-11.54966
Gar,230,1742632214347,0.38644,-1.17667,9.52463,-3.67489,10.35095,-9.79971
Gar,231,1742632214353,0.38644,-1.17667,9.52463,-5.56484,8.04101,-11.61966
Gar,232,1742632214362,0.38644,-1.17667,9.52463,-2.13494,6.29106,-10.1497
Gar,233,1742632214372,1.32144,-2.16371,10.86222,-8.22476,-4.69861,-6.29981
Gar,234,1742632214379,1.32144,-2.16371,10.86222,-5.42484,-10.85843,-9.16973
Gar,235,1742632214389,1.30588,-2.44068,9.54557,5.28484,8.04101,-5.10985
Gar,236,1742632214396,1.30588,-2.44068,9.54557,-0.45499,9.72096,-5.94982
Gar,237,1742632214404,1.30588,-2.44068,9.54557,-1.43496,3.70114,-7.13979
Gar,238,1742632214413,-0.22134,-4.26102,6.13221,-6.26482,12.80087,-10.98968
Gar,239,1742632214422,-0.22134,-4.26102,6.13221,-8.15476,-5.39859,-9.23973
Gar,240,1742632214431,-0.33978,1.44526,13.84906,13.12461,-3.29865,-7.20979
Gar,241,1742632214438,-0.33978,1.44526,13.84906,13.6846,9.86096,-6.43981
Gar,242,1742632214447,-0.7986,-5.29352,6.37986,-5.77483,8.04101,-10.98968
Gar,243,1742632214456,-0.7986,-5.29352,6.37986,-16.9045,15.1108,-13.15961
Gar,244,1742632214465,-0.7986,-5.29352,6.37986,-18.02447,-11.7684,-11.33967
Gar,245,1742632214472,-0.57129,-1.17787,13.37887,-10.0447,-13.58835,-8.67974
Gar,246,1742632214481,-0.57129,-1.17787,13.37887,-7.66477,10.21095,-11.89965
Gar,247,1742632214489,0.14357,-1.82871,9.43968,-12.84462,9.86096,-11.61966
Gar,248,1742632214497,0.14357,-1.82871,9.43968,-10.88468,7.27104,-9.51972
Gar,249,1742632214505,1.46381,-3.28355,3.07837,5.00485,14.97081,-15.67954
Gar,250,1742632214513,1.46381,-3.28355,3.07837,25.30426,20.57064,-24.70927
Gar,251,1742632214524,-0.40738,0.7681,12.66102,17.81448,16.02078,-26.03923
Gar,252,1742632214532,-0.40738,0.7681,12.66102,5.77483,-19.46818,-9.44972
Gar,253,1742632214538,-0.40738,0.7681,12.66102,11.30467,-12.0484,-0.76998
Gar,254,1742632214547,-0.9667,-2.9013,11.37129,9.90471,13.71085,-6.8598
Gar,255,1742632214554,-0.9667,-2.9013,11.37129,-19.77442,17.49073,-12.31964
Gar,256,1742632214563,-0.30449,-2.31745,9.66401,-22.29434,9.09098,-13.22961
Gar,257,1742632214572,-0.30449,-2.31745,9.66401,-13.26461,-2.87867,-8.32975
Gar,258,1742632214581,-0.30449,-2.31745,9.66401,-9.20473,-4.06863,-8.88974
Gar,259,1742632214590,0.75733,-1.89272,10.58286,-7.24479,8.04101,-8.81974
Gar,260,1742632214598,0.75733,-1.89272,10.58286,-5.49484,0.34124,-8.95974
Gar,261,1742632214606,-0.69212,-1.51944,8.12842,-2.06494,-0.56873,-9.37972
Gar,262,1742632214615,-0.69212,-1.51944,8.12842,7.31479,4.9611,-9.65972
Gar,263,1742632214623,0.42353,-2.18764,5.49033,19.98441,10.35095,-13.4396
Gar,264,1742632214631,0.42353,-2.18764,5.49033,23.27431,9.93096,-12.52963
Gar,265,1742632214640,0.42353,-2.18764,5.49033,21.52437,6.78105,-11.26967
Gar,266,1742632214649,-1.0008,-0.22373,11.4006,12.00465,-6.51856,-6.57981
Gar,267,1742632214656,-1.0008,-0.22373,11.4006,2.06494,-15.47829,-11.05967
Gar,268,1742632214666,-0.97866,-2.24866,11.11885,-4.51487,16.02078,-12.31964
Gar,269,1742632214673,-0.97866,-2.24866,11.11885,-8.50475,14.20083,-9.79971
Gar,270,1742632214682,0.71545,-2.10568,8.70748,-10.88468,6.92105,-11.54966
Gar,271,1742632214691,0.71545,-2.10568,8.70748,-4.30487,9.51097,-11.68966
Gar,272,1742632214697,0.71545,-2.10568,8.70748,-2.55492,5.1011,-10.00971
Gar,273,1742632214705,-0.4002,-1.77667,7.67618,-0.45499,-2.73867,-10.98968
Gar,274,1742632214714,-0.4002,-1.77667,7.67618,2.34493,-2.94866,-9.30973
Gar,275,1742632214723,-0.21176,-3.00838,11.87438,0.59498,-0.70873,-10.2197
Gar,276,1742632214732,-0.21176,-3.00838,11.87438,-7.10479,5.59109,-9.65972
Gar,277,1742632214740,0.14357,0.69571,12.41217,-5.49484,9.30098,-8.88974
Gar,278,1742632214749,0.14357,0.69571,12.41217,-0.24499,6.64105,-10.56969
Gar,279,1742632214756,0.14357,0.69571,12.41217,-2.34493,10.63094,-10.84968
Gar,280,1742632214766,0.3673,-2.91027,6.86979,-3.3949,9.23098,-13.5796
Gar,281,1742632214774,0.3673,-2.91027,6.86979,15.29455,-9.80846,-13.78959
Gar,282,1742632214783,-1.88136,-0.45703,11.48674,24.53428,-22.33809,-10.0797
Gar,283,1742632214791,-1.88136,-0.45703,11.48674,21.73436,-19.04819,-10.2897
Gar,284,1742632214798,0.06221,-3.22313,8.98864,10.46469,-1.7587,-12.66963
Gar,285,1742632214808,0.06221,-3.22313,8.98864,4.51487,7.69102,-14.41958
Gar,286,1742632214816,0.06221,-3.22313,8.98864,5.56484,3.42115,-13.7196
Gar,287,1742632214824,-0.10947,-1.10429,11.64706,7.94477,-10.64844,-12.24964
Gar,288,1742632214832,-0.10947,-1.10429,11.64706,2.06494,0.62123,-12.31964
Gar,289,1742632214842,0.81835,0.30568,10.28974,2.76492,7.06104,-11.75965
Gar,290,1742632214847,0.81835,0.30568,10.28974,4.37487,3.00116,-11.68966
Gar,291,1742632214857,-0.22732,-2.28275,9.79143,-3.2549,0.41124,-10.91968
Gar,292,1742632214865,-0.22732,-2.28275,9.79143,-5.98482,-2.66867,-10.49969
Gar,293,1742632214874,-0.22732,-2.28275,9.79143,-0.17499,-0.00875,-10.77968
Gar,294,1742632214883,-0.14177,-1.68634,9.95354,0.80498,-0.84873,-10.56969
Gar,295,1742632214891,-0.14177,-1.68634,9.95354,1.99494,10.77093,-10.98968
Gar,296,1742632214898,0.268,-3.95653,7.44706,2.83492,8.461,-12.45963
Gar,297,1742632214908,0.268,-3.95653,7.44706,-2.48493,-3.01866,-12.03965
Gar,298,1742632214916,-0.24287,-0.34696,14.09432,-0.105,-14.35833,-7.69977
Gar,299,1742632214924,-0.24287,-0.34696,14.09432,-0.31499,-8.12851,-8.18976
Gar,300,1742632214932,-0.24287,-0.34696,14.09432,-7.66477,11.9609,-11.54966
Gar,301,1742632214941,0.05982,-2.21097,8.4347,-13.19461,5.2411,-10.42969
Gar,302,1742632214949,0.05982,-2.21097,8.4347,-2.34493,-3.71864,-9.86971
Gar,303,1742632214958,0.68435,-3.0664,7.32742,1.29496,0.90122,-12.73962
Gar,304,1742632214966,0.68435,-3.0664,7.32742,-5.35484,-0.49874,-8.95974
Gar,305,1742632214975,-0.24586,-0.29791,14.24986,-3.18491,-10.85843,-4.75986
Gar,306,1742632214984,-0.24586,-0.29791,14.24986,-5.63483,3.21116,-6.9298
Gar,307,1742632214990,-0.24586,-0.29791,14.24986,-11.72466,8.25101,-7.90977
Gar,308,1742632214999,-0.01854,-2.53041,10.72463,-20.3344,6.36106,-9.72971
Gar,309,1742632215008,-0.01854,-2.53041,10.72463,-12.07465,0.90122,-6.36981
