ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739358784098,0.10528,-0.59043,9.82284,-0.62559,3.662,7.82753
Abj,2,1739358784110,0.21565,-1.5006,9.53779,-1.23593,-1.58687,9.53646
Abj,3,1739358784133,0.24437,-0.31496,9.60958,-0.25939,5.00474,8.74303
Abj,4,1739358784151,0.14596,-0.68853,9.72712,-0.25939,3.90613,8.98716
Abj,5,1739358784181,-0.06461,-1.35464,10.08635,0.41198,0.79343,9.35336
Abj,6,1739358784197,0.10289,-1.22034,10.58944,2.60918,0.42723,9.71956
Abj,7,1739358784224,-0.10798,-0.87308,9.59043,3.64674,-0.7324,10.75713
Abj,8,1739358784240,-0.10798,-0.87308,9.59043,5.66084,6.71367,9.84163
Abj,9,1739358784251,0.26351,-0.81805,9.5019,4.19604,-3.72303,10.94023
Abj,10,1739358784268,-0.14387,-0.88505,9.58804,6.63738,7.07987,10.57403
Abj,11,1739358784284,0.15793,-0.44177,10.86491,2.73124,0.48827,9.9637
Abj,12,1739358784295,0.15793,-0.44177,10.86491,1.69368,3.8451,11.00126
Abj,13,1739358784303,0.10289,-0.71246,10.30918,2.42608,9.27707,9.4144
Abj,14,1739358784323,-0.28983,-0.50668,10.00499,2.67021,1.34273,11.9778
Abj,15,1739358784339,-0.28983,-0.50668,10.00499,2.05988,13.79354,8.682
Abj,16,1739358784363,0.06939,-0.05145,9.52583,1.69368,8.91087,8.49889
Abj,17,1739358784382,-0.04307,-0.7989,9.25514,1.32748,7.56814,8.25476
Abj,18,1739358784402,-0.04307,-0.7989,9.25514,-2.63969,2.86857,7.94959
Abj,19,1739358784410,-0.19412,0.37029,10.18714,-2.09039,1.22067,6.72893
Abj,20,1739358784421,-0.3329,-0.78455,9.23121,-2.21246,4.69957,6.66789
Abj,21,1739358784439,-0.3329,-0.78455,9.23121,-2.94486,4.51647,5.01999
Abj,22,1739358784456,0.12921,-0.42503,10.25175,0.04578,6.4085,4.59276
Abj,23,1739358784475,-0.2324,-1.1007,9.73909,-1.23593,2.1972,2.94486
Abj,24,1739358784491,0.20369,-0.78215,9.89223,-0.38146,5.18784,2.21246
Abj,25,1739358784506,-0.11994,-0.79651,9.94995,-0.38146,1.22067,0.86973
Abj,26,1739358784524,0.18903,-0.17348,9.81087,-2.70073,-1.76997,0.62559
Abj,27,1739358784556,-0.01914,-0.54257,10.30439,-2.63969,3.72303,-0.90024
Abj,28,1739358784573,0.04546,-1.52453,9.16182,-1.48006,2.13617,-2.05988
Abj,29,1739358784589,-0.00957,-1.66361,10.4025,2.79228,1.34273,-4.01294
Abj,30,1739358784605,-0.21565,-1.24666,10.88166,3.64674,-1.34273,-3.40261
Abj,31,1739358784621,-0.21565,-1.24666,10.88166,2.24298,1.831,-4.92844
Abj,32,1739358784635,0.38794,0.27667,10.54876,-2.27349,-4.15027,-4.80638
Abj,33,1739358784655,0.1005,0.21924,9.20967,-2.27349,4.69957,-5.41671
Abj,34,1739358784667,-0.0335,-0.61196,8.97727,-1.96833,-1.58687,-5.35568
Abj,35,1739358784679,-0.0335,-0.61196,8.97727,-2.09039,3.78407,-5.53878
Abj,36,1739358784689,0.40947,-1.22752,9.95953,-0.25939,5.18784,-5.23361
Abj,37,1739358784706,0.04546,-1.07916,9.45883,1.51058,1.95307,-4.74534
Abj,38,1739358784724,0.16989,0.19053,10.91037,-5.08103,-5.55404,-4.92844
Abj,39,1739358784741,0.16989,0.19053,10.91037,-6.17963,-9.7043,-4.19604
Abj,40,1739358784775,0.52223,-1.05284,10.69472,-4.95896,0.61033,-3.89088
Abj,41,1739358784813,0.00718,-1.74736,10.45305,-3.18899,0,-3.89088
Abj,42,1739358784833,-0.21087,-1.47906,10.51526,-2.82279,-8.2395,-3.76881
Abj,43,1739358784838,-0.21087,-1.47906,10.51526,0.59508,-6.83574,-3.28054
Abj,44,1739358784855,0.1651,-1.2682,10.16531,0.22888,-2.50237,-4.07398
Abj,45,1739358784872,0.14596,-0.83719,9.96431,-1.78523,-3.05167,-3.03641
Abj,46,1739358784889,0.3664,-0.25753,9.99781,-2.82279,1.70893,-2.79228
Abj,47,1739358784906,0.07418,-1.68036,9.69362,0.22888,2.1972,-2.79228
Abj,48,1739358784924,-0.05025,-0.4992,9.29103,-1.54109,-1.76997,-2.91434
Abj,49,1739358784941,-0.05025,-0.4992,9.29103,-0.07629,-3.662,-2.42608
Abj,50,1739358784956,0.06461,-0.75075,9.8013,-0.01526,-4.08923,-2.24298
Abj,51,1739358784975,0.17946,-1.33789,9.00838,4.31811,-0.7324,-2.48711
Abj,52,1739358784997,0.19143,-0.43938,9.45644,2.24298,3.90613,-2.91434
Abj,53,1739358785014,0.02393,-0.24078,9.22403,0.59508,-4.2113,-2.60918
Abj,54,1739358785028,0.30419,-0.69571,8.86242,2.18194,1.58687,-2.91434
Abj,55,1739358785044,0.04068,-0.98554,8.97009,3.09744,2.68547,-3.21951
Abj,56,1739358785058,0.04068,-0.98554,8.97009,2.85331,1.4648,-3.40261
Abj,57,1739358785072,-0.04068,-0.9664,10.67079,3.89088,-12.32874,-3.15848
Abj,58,1739358785089,0.1651,-1.10788,10.29961,4.68431,5.24887,-3.58571
Abj,59,1739358785108,0.4334,-0.40828,9.99781,2.30401,-2.9296,-3.46364
Abj,60,1739358785126,-0.02871,0.00837,9.12353,0.41198,1.0986,-2.97538
Abj,61,1739358785148,0.48634,-0.59521,10.72852,-1.35799,6.28644,-2.97538
Abj,62,1739358785167,0.10289,-1.97258,9.88026,0.59508,9.09397,-2.97538
Abj,63,1739358785187,0.10289,-1.97258,9.88026,0.47301,1.2817,-2.85331
Abj,64,1739358785198,0.21805,-1.55803,10.59661,5.35568,2.62443,-2.42608
Abj,65,1739358785205,-0.21565,-1.21795,8.77598,5.47774,2.31927,-3.15848
Abj,66,1739358785225,0.10768,1.48654,9.9018,2.36504,-1.70893,-2.36504
Abj,67,1739358785241,0.10768,1.48654,9.9018,-4.10449,4.08923,-2.42608
Abj,68,1739358785259,0.37119,-0.7989,9.95235,-1.11386,1.70893,-0.77818
Abj,69,1739358785275,0.28265,-1.28495,10.1677,-1.05283,3.1127,-1.51058
Abj,70,1739358785292,-0.30897,-2.26241,10.36182,4.25708,-7.75124,-1.81574
Abj,71,1739358785310,-0.13669,-0.37238,9.93081,-0.74766,-6.28644,-2.79228
Abj,72,1739358785332,0.03589,0.8348,10.57269,-6.05756,-4.2113,-1.87678
Abj,73,1739358785350,-0.00957,-0.66461,10.14856,-5.08103,6.46954,-2.36504
Abj,74,1739358785363,-0.00957,-0.66461,10.14856,-2.51763,1.831,-2.67021
Abj,75,1739358785382,-0.05982,-2.61446,10.01456,-1.23593,1.70893,-2.12091
Abj,76,1739358785392,0.1651,-0.55214,9.74387,-3.79933,4.69957,-2.85331
Abj,77,1739358785414,-0.1989,-1.01665,10.88884,-5.08103,-4.3944,-3.28054
Abj,78,1739358785425,-0.2013,-1.70907,10.06481,-2.57866,-4.0282,-1.44954
Abj,79,1739358785441,-0.2013,-1.70907,10.06481,-3.06693,-0.48827,-4.80638
Abj,80,1739358785457,0.5988,-1.36421,10.06242,1.20541,-8.4226,-2.54814
Abj,81,1739358785475,0.02632,-0.78455,9.79173,-1.05283,5.43197,-5.35568
Abj,82,1739358785493,-0.01196,0.11396,10.39771,-5.14206,-10.74187,-4.25708
Abj,83,1739358785509,0.51266,-1.02383,9.83719,-5.08103,5.18784,-4.50121
