ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739358098459,0.18185,-0.31735,10.24218,-2.57866,-3.1127,2.15143
Abj,2,1739358098474,0.18185,-0.31735,10.24218,-2.02936,1.70893,2.27349
Abj,3,1739358098492,0.33051,-1.06959,9.55693,-2.15143,6.28644,2.45659
Abj,4,1739358098508,0.01196,-1.41206,10.17967,0.04578,-0.97653,2.70073
Abj,5,1739358098524,0.05503,-1.57268,10.12702,-0.68663,2.80753,2.82279
Abj,6,1739358098541,0.02393,-1.04806,10.07917,-1.60213,-4.3944,2.51763
Abj,7,1739358098557,0.02393,-1.04806,10.07917,-1.48006,1.0986,3.86036
Abj,8,1739358098575,0.6323,-1.12702,10.07677,1.81574,-7.44607,3.43313
Abj,9,1739358098601,0.01675,-1.54367,10.34028,-0.01526,-2.50237,3.67726
Abj,10,1739358098608,0.16032,-1.05045,10.00738,-1.35799,-5.24887,3.67726
Abj,11,1739358098624,0.07896,-0.09691,9.81805,-1.84626,0.67137,4.53173
Abj,12,1739358098640,0.19382,-1.62293,9.31017,0.28991,-0.79343,4.34863
Abj,13,1739358098659,-0.02632,-0.58086,10.36421,-3.98243,-0.7324,4.47069
Abj,14,1739358098675,-0.02632,-0.58086,10.36421,-3.12796,-1.70893,3.55519
Abj,15,1739358098692,-0.25155,-0.84915,9.6359,-6.91203,-2.31927,3.55519
Abj,16,1739358098723,-0.23719,-1.57268,10.07199,-2.82279,5.55404,2.82279
Abj,17,1739358098744,0.25155,-2.54746,9.78934,3.03641,0.24413,2.57866
Abj,18,1739358098761,0.25155,-2.54746,9.78934,-0.50353,-3.53993,3.00589
Abj,19,1739358098788,0.48156,-0.15912,9.18814,-2.39556,2.86857,3.31106
Abj,20,1739358098803,0.37358,-0.85394,9.48754,-4.65379,-3.90613,5.44723
Abj,21,1739358098821,0.37358,-0.85394,9.48754,-3.86036,8.9719,5.63033
Abj,22,1739358098830,0.51745,-2.20977,9.46122,0.71714,0.67137,5.20309
Abj,23,1739358098842,-0.45763,-2.36291,9.28864,1.20541,0.3662,5.99653
Abj,24,1739358098859,0.10289,-0.66461,10.18236,-2.21246,3.8451,4.16553
Abj,25,1739358098875,0.10289,-0.66461,10.18236,-4.65379,-8.54467,6.05756
Abj,26,1739358098892,-0.15344,0.47079,10.81705,-3.73829,10.00947,4.77586
Abj,27,1739358098914,-0.11276,-2.68415,9.23839,1.69368,-6.28644,5.63033
Abj,28,1739358098932,-0.30419,-2.62403,8.49093,4.01294,13.0001,4.16553
Abj,29,1739358098946,0.01675,-1.54606,10.75245,4.86741,-14.40387,5.08103
Abj,30,1739358098960,0.23958,-0.69093,9.81805,3.40261,13.85457,2.70073
Abj,31,1739358098974,0.23958,-0.69093,9.81805,3.70778,-17.02831,4.16553
Abj,32,1739358099003,0.15314,-0.25035,9.9691,1.20541,12.0846,1.84626
Abj,33,1739358099011,0.00718,-0.27428,9.78694,-1.35799,2.68547,2.21246
Abj,34,1739358099022,0.32572,-2.04198,10.15813,0.96128,3.41787,3.49416
Abj,35,1739358099039,0.07178,-2.22174,10.27807,4.56224,-0.9155,1.96833
Abj,36,1739358099058,0.07178,-2.22174,10.27807,5.17258,-2.9296,2.39556
Abj,37,1739358099075,0,-1.73061,9.22643,2.12091,-1.22067,1.17489
Abj,38,1739358099094,0.19382,0.05892,10.89123,0.28991,-3.90613,0.68663
Abj,39,1739358099110,-0.19412,-0.35324,9.38944,-2.70073,6.9578,0.68663
Abj,40,1739358099127,0.26351,-0.68853,9.6335,3.03641,0.79343,0.44249
Abj,41,1739358099161,-0.20369,-1.52453,8.11496,-0.80869,-3.35683,-0.47301
Abj,42,1739358099176,0.59641,-0.60239,11.35364,-2.82279,4.2113,-1.14438
Abj,43,1739358099189,0.23001,-1.36899,10.58944,-5.50826,2.5634,-0.71714
Abj,44,1739358099205,0.23958,-2.14038,9.57847,-2.45659,6.9578,0.38146
Abj,45,1739358099219,0.23958,-2.14038,9.57847,0.90024,2.0141,-0.10681
Abj,46,1739358099236,0.4334,-1.78804,8.44068,2.30401,6.4085,-0.04578
